id,title,journal,year,citation,publisher_url,thumbnail_url,skip_thumbnail,figure_num,topic,figure_type,taxa,difficulty,open_source,4DEE_concept,methods_summary,interpretation_notes
FIG-036,Wolves Modulate Soil Nutrient Heterogeneity and Foliar Nitrogen by Configuring the Distribution of Ungulate Carcasses,Ecology,2009,"Bump, J.K., Peterson, R.O. and Vucetich, J.A. (2009), Wolves modulate soil nutrient heterogeneity and foliar nitrogen by configuring the distribution of ungulate carcasses. Ecology, 90: 3159-3167. https://doi.org/10.1890/09-0292.1",https://doi.org/10.1890/09-0292.1,,Yes,2,"Trophic interactions, Nutrient Cycling",Line Graph,"Mammals: Canis, ungulates",1,No,Ecosystems,"The sites of 17 moose carcasses, killed in winters between 2002-2004 and verified to have come from wolf predation, were sampled a series of times (late May-early June 2004, spring 2005, and spring 2006) to analyze soil nutrient contents of phosphorus, nitrogen, and potassium in Isle Royale National Park, Michigan. At each site, two soil cores were taken from the center of the carcass, defined using the rumen and hair mat left behind from the animal, and two additional soil cores were extracted at approximately 6 meters away from the center on each side. Due to site marking limitations, site number decreased over time as the exact locations of sites were unable to be redetermined in subsequent years.","Inorganic nitrogen, phosphorus, and potassium are all macronutrients in soil that reflect on its general fertility and capacity for support for plant life. Asterisks show significant differences at the P < 0.05 level."
FIG-037,Sea Otters and Kelp Forests in Alaska,Ecological Monographs,1995,"Estes, J.A. and Duggins, D.O. (1995), Sea Otters and Kelp Forests in Alaska: Generality and Variation in a Community Ecological Paradigm. Ecological Monographs, 65: 75-100. https://doi.org/10.2307/2937159",https://doi.org/10.2307/2937159,,Yes,16,"Communities: Disturbance and Succession, Trophic Interactions",Stable Equilibria Plot,Mammals: Mustelids; algae,3,No,Ecosystems,"Several sample sites in the Aleutian Islands and southeast Alaska (4 with abundant otters, 2 without otters, 1 in a transitional state) were each sampled one time each--some in the summer of 1987 and some in the summer of 1988. Sites were randomly chosen and urchins from within quadrats at sites were collected and measured until 200 individuals were collected or 20 quadrats were assessed.","Sea otters eat sea urchins, which eat algae and kelp. dV/dt represents the rate of change in biomass-dependent plant production for the solid line. Students must be able to figure out that the dashed lines represent the rate of consumption of algal biomass by sea urchins, categorized by otter abundance."
FIG-038,Population Density and Species Composition of Moss-Living Tardigrades in a Boreo-Nemoral Forest,Ecography,2003,"Jönsson, K.I. (2003), Population density and species composition of moss-living tardigrades in a boreo-nemoral forest. Ecography, 26: 356-364. https://doi.org/10.1034/j.1600-0587.2003.03458.x",https://doi.org/10.1034/j.1600-0587.2003.03458.x,,Yes,3,"Communities: Disturbance, Diversity",Bar Chart,Tardigrada,1,Yes,Communities,,"There are multiple different species of tardigrade, and different species of tardigrade can coexist and live on one species of moss. Tardigrade abundance is measured as tardigrade count per gram of dry moss."
FIG-039,Vegetation Development on a Dated Series of Abandoned Lead and Zinc Mines in Southwestern Wisconsin,The American Midland Naturalist,1984,"Kimmerer, R W (1984). Vegetation development on a dated series of abandoned lead and zinc mines in southwestern Wisconsin. Am. Midl. Nat.; (United States), 111:2. https://doi.org/10.2307/2425328",https://doi.org/10.2307/2425328,,Yes,3,Communities: Succession,Percentage Bar Chart,"Grasses, forbs, woody shrubs",3,No,Communities,,"A forb is ""any herbaceous plant that is not a grass"" (according to dictionary.com). Annual, biennial, and perennial refer to the plant's lifespan and regrowth cycles wherein annual plants complete their lifecycle over the span of one year, biennials complete their life cycle over the course of two years, and perennials persist over multiple years."
FIG-040,The Ecology of the Merriam Kangaroo Rat (Dipodomys Merriami Mearns) on the Grazing Lands of Southern Arizona,Ecological Monographs,1958,"Reynolds, H.G. (1958), The Ecology of the Merriam Kangaroo Rat (Dipodomys merriami Mearns) on the Grazing Lands of Southern Arizona. Ecological Monographs, 28: 111-127. https://doi.org/10.2307/1942205",https://doi.org/10.2307/1942205,,Yes,3,"Ecophysiology of Stress, Population Distribution",Bar Chart,Mammals: Rodentia,1,No,Populations,,"The figure represents a the geography of the study area, which is around 30 miles south of Tuscon, Arizona."
FIG-041,The Role of Disturbance in the Pattern of a Riparian Bryophyte Community,The American Midland Naturalist,1982,"Kimmerer, R. W., & Allen, T. F. H. (1982). The Role of Disturbance in the Pattern of a Riparian Bryophyte Community. The American Midland Naturalist, 107(2), 370–383. https://doi.org/10.2307/2425387",https://doi.org/10.2307/2425387,,Yes,7,"Communities: Disturbance, Succession",Dot and Whisker,Mosses,4,No,Communities,,"C. conicum, F. obtusifolius, G. aeruginosum, and B. rutabulum are all different species of moss, subject to disturbance via floods."
FIG-042,"Behavior and Inter-Island Movements of Satellite-Tagged Humpback Whales in Hawai’i, USA",Marine Ecology Progress Series,2022,"Henderson, E. E., Deakos, M., Aschettino, J., Englehaupt, D., & Alongi, G. (2022). Behavior and inter-island movements of satellite-tagged humpback whales in Hawai’i, USA. Marine Ecology Progress Series, 685, 197–213. https://www.jstor.org/stable/27393445",https://doi.org/10.3354/meps13976,,Yes,6,"Behavioral Ecology, Optimal Foraging Theorem",Scatter Plot; Box and Whisker,Mammals: Cetaceans,2,Yes,Populations,,"Box Plot: 1 = dives during the daytime, 0 = dives during the nighttime."
FIG-043,The Ecology of the Merriam Kangaroo Rat (Dipodomys Merriami Mearns) on the Grazing Lands of Southern Arizona,Ecological Monographs,1958,"Reynolds, H.G. (1958), The Ecology of the Merriam Kangaroo Rat (Dipodomys merriami Mearns) on the Grazing Lands of Southern Arizona. Ecological Monographs, 28: 111-127. https://doi.org/10.2307/1942205",https://doi.org/10.2307/1942205,,Yes,5,Communities: Positive Interactions,Bar Chart,Mammals: Rodentia,1,No,Communities,,Plant seeds are the primary component of kangaroo rat diets.
FIG-044,Mechanisms of Competition Between Douglas-Fir and Red Alder Seedlings,Ecology,1992,"Shainsky, L.J. and Radosevich, S.R. (1992), Mechanisms of Competition Between Douglas-Fir and Red Alder Seedlings. Ecology, 73: 30-45. https://doi.org/10.2307/1938718",https://doi.org/10.2307/1938718,,No,2,Communities: Competition,3D Bar Chart,Trees,3,No,Communities,,Red Alder and Douglas-fir were grown together in different densities to examine their ecological relationship.
FIG-045,The Role of Disturbance in the Pattern of a Riparian Bryophyte Community,The American Midland Naturalist,1982,"Kimmerer, R. W., & Allen, T. F. H. (1982). The Role of Disturbance in the Pattern of a Riparian Bryophyte Community. The American Midland Naturalist, 107(2), 370–383. https://doi.org/10.2307/2425387",https://doi.org/10.2307/2425387,,Yes,1,Communities: Distribution,Line Graph,Mosses,1,No,Communities,,"Elevation is measured from the water level of a river along a vertical cliff face. Fissidens obtusifolius, Conocephalum conicum, and Gymnostomum aeruginosum are all different species of moss that live on this cliff face."
